round_name,round_type,system,bow_type,bow_group,spot_type,score,handicap
Warwick 40,outdoor,imperial,compound,compound,,432,4
York,outdoor,imperial,recurve,non-compound,,1268,5
York,outdoor,imperial,compound,compound,,1268,5
Hereford / Bristol I,outdoor,imperial,recurve,non-compound,,1290,5
Hereford / Bristol I,outdoor,imperial,compound,compound,,1290,5
Bristol II,outdoor,imperial,recurve,non-compound,,1296,5
Bristol II,outdoor,imperial,compound,compound,,1296,5
Bristol III,outdoor,imperial,recurve,non-compound,,1296,5
Bristol III,outdoor,imperial,compound,compound,,1296,5
Bristol IV,outdoor,imperial,recurve,non-compound,,1296,5
Bristol IV,outdoor,imperial,compound,compound,,1296,5
Bristol V,outdoor,imperial,recurve,non-compound,,1296,5
Bristol V,outdoor,imperial,compound,compound,,1296,5
St George,outdoor,imperial,recurve,non-compound,,957,5
St George,outdoor,imperial,compound,compound,,957,5
Albion,outdoor,imperial,recurve,non-compound,,969,5
Albion,outdoor,imperial,compound,compound,,969,5
Windsor,outdoor,imperial,recurve,non-compound,,972,5
Windsor,outdoor,imperial,compound,compound,,972,5
Windsor 50,outdoor,imperial,recurve,non-compound,,972,5
Windsor 50,outdoor,imperial,compound,compound,,972,5
Windsor 40,outdoor,imperial,recurve,non-compound,,972,5
Windsor 40,outdoor,imperial,compound,compound,,972,5
Windsor 30,outdoor,imperial,recurve,non-compound,,972,5
Windsor 30,outdoor,imperial,compound,compound,,972,5
New Western,outdoor,imperial,recurve,non-compound,,844,5
New Western,outdoor,imperial,compound,compound,,844,5
Long Western,outdoor,imperial,recurve,non-compound,,860,5
Long Western,outdoor,imperial,compound,compound,,860,5
Western,outdoor,imperial,recurve,non-compound,,864,5
Western,outdoor,imperial,compound,compound,,864,5
Western 50,outdoor,imperial,recurve,non-compound,,864,5
Western 50,outdoor,imperial,compound,compound,,864,5
Western 40,outdoor,imperial,recurve,non-compound,,864,5
Western 40,outdoor,imperial,compound,compound,,864,5
Western 30,outdoor,imperial,recurve,non-compound,,864,5
Western 30,outdoor,imperial,compound,compound,,864,5
American,outdoor,imperial,recurve,non-compound,,810,5
American,outdoor,imperial,compound,compound,,810,5
St Nicholas,outdoor,imperial,recurve,non-compound,,756,5
St Nicholas,outdoor,imperial,compound,compound,,756,5
New National,outdoor,imperial,recurve,non-compound,,630,5
New National,outdoor,imperial,compound,compound,,630,5
Long National,outdoor,imperial,recurve,non-compound,,645,5
Long National,outdoor,imperial,compound,compound,,645,5
National,outdoor,imperial,recurve,non-compound,,648,5
National,outdoor,imperial,compound,compound,,648,5
National 50,outdoor,imperial,recurve,non-compound,,648,5
National 50,outdoor,imperial,compound,compound,,648,5
National 40,outdoor,imperial,recurve,non-compound,,648,5
National 40,outdoor,imperial,compound,compound,,648,5
National 30,outdoor,imperial,recurve,non-compound,,648,5
National 30,outdoor,imperial,compound,compound,,648,5
New Warwick,outdoor,imperial,recurve,non-compound,,422,5
New Warwick,outdoor,imperial,compound,compound,,422,5
Long Warwick,outdoor,imperial,recurve,non-compound,,430,5
Long Warwick,outdoor,imperial,compound,compound,,430,5
Warwick,outdoor,imperial,recurve,non-compound,,432,5
Warwick,outdoor,imperial,compound,compound,,432,5
Warwick 50,outdoor,imperial,recurve,non-compound,,432,5
Warwick 50,outdoor,imperial,compound,compound,,432,5
Warwick 40,outdoor,imperial,recurve,non-compound,,432,5
Warwick 40,outdoor,imperial,compound,compound,,432,5
York,outdoor,imperial,recurve,non-compound,,1264,6
York,outdoor,imperial,compound,compound,,1264,6
Hereford / Bristol I,outdoor,imperial,recurve,non-compound,,1289,6
Hereford / Bristol I,outdoor,imperial,compound,compound,,1289,6
Bristol II,outdoor,imperial,recurve,non-compound,,1296,6
Bristol II,outdoor,imperial,compound,compound,,1296,6
Bristol III,outdoor,imperial,recurve,non-compound,,1296,6
Bristol III,outdoor,imperial,compound,compound,,1296,6
Bristol IV,outdoor,imperial,recurve,non-compound,,1296,6
Bristol IV,outdoor,imperial,compound,compound,,1296,6
Bristol V,outdoor,imperial,recurve,non-compound,,1296,6
Bristol V,outdoor,imperial,compound,compound,,1296,6
St George,outdoor,imperial,recurve,non-compound,,955,6
St George,outdoor,imperial,compound,compound,,955,6
Albion,outdoor,imperial,recurve,non-compound,,969,6
Albion,outdoor,imperial,compound,compound,,969,6
Windsor,outdoor,imperial,recurve,non-compound,,972,6
Windsor,outdoor,imperial,compound,compound,,972,6
Windsor 50,outdoor,imperial,recurve,non-compound,,972,6
Windsor 50,outdoor,imperial,compound,compound,,972,6
Windsor 40,outdoor,imperial,recurve,non-compound,,972,6
Windsor 40,outdoor,imperial,compound,compound,,972,6
Windsor 30,outdoor,imperial,recurve,non-compound,,972,6
Windsor 30,outdoor,imperial,compound,compound,,972,6
New Western,outdoor,imperial,recurve,non-compound,,841,6
New Western,outdoor,imperial,compound,compound,,841,6
Long Western,outdoor,imperial,recurve,non-compound,,859,6
Long Western,outdoor,imperial,compound,compound,,859,6
Western,outdoor,imperial,recurve,non-compound,,864,6
Western,outdoor,imperial,compound,compound,,864,6
Western 50,outdoor,imperial,recurve,non-compound,,864,6
Western 50,outdoor,imperial,compound,compound,,864,6
Western 40,outdoor,imperial,recurve,non-compound,,864,6
Western 40,outdoor,imperial,compound,compound,,864,6
Western 30,outdoor,imperial,recurve,non-compound,,864,6
Western 30,outdoor,imperial,compound,compound,,864,6
American,outdoor,imperial,recurve,non-compound,,810,6
American,outdoor,imperial,compound,compound,,810,6
St Nicholas,outdoor,imperial,recurve,non-compound,,756,6
St Nicholas,outdoor,imperial,compound,compound,,756,6
New National,outdoor,imperial,recurve,non-compound,,628,6
New National,outdoor,imperial,compound,compound,,628,6
Long National,outdoor,imperial,recurve,non-compound,,644,6
Long National,outdoor,imperial,compound,compound,,644,6
National,outdoor,imperial,recurve,non-compound,,648,6
National,outdoor,imperial,compound,compound,,648,6
National 50,outdoor,imperial,recurve,non-compound,,648,6
National 50,outdoor,imperial,compound,compound,,648,6
National 40,outdoor,imperial,recurve,non-compound,,648,6
National 40,outdoor,imperial,compound,compound,,648,6
National 30,outdoor,imperial,recurve,non-compound,,648,6
National 30,outdoor,imperial,compound,compound,,648,6
New Warwick,outdoor,imperial,recurve,non-compound,,421,6
New Warwick,outdoor,imperial,compound,compound,,421,6
Long Warwick,outdoor,imperial,recurve,non-compound,,430,6
Long Warwick,outdoor,imperial,compound,compound,,430,6
Warwick,outdoor,imperial,recurve,non-compound,,432,6
Warwick,outdoor,imperial,compound,compound,,432,6
Warwick 50,outdoor,imperial,recurve,non-compound,,432,6
Warwick 50,outdoor,imperial,compound,compound,,432,6
Warwick 40,outdoor,imperial,recurve,non-compound,,432,6
Warwick 40,outdoor,imperial,compound,compound,,432,6
York,outdoor,imperial,recurve,non-compound,,1260,7
York,outdoor,imperial,compound,compound,,1260,7
